dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
turning,cnn_ae,global_mse,0.002133644185960293,0.9799377372318678,0.9310344827586207,0.8709677419354839,1.0,44,4,0,27
turning,cnn_ae,global_mae,0.029932839795947075,0.9936507936507935,0.9285714285714286,0.896551724137931,0.9629629629629629,45,3,1,26
turning,cnn_ae,ver_max,0.0034969148691743612,0.9658312533783397,0.9152542372881356,0.84375,1.0,43,5,0,27
turning,cnn_ae,ver_topk,0.0027443210128694773,0.9682170635060856,0.9152542372881356,0.84375,1.0,43,5,0,27
