dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
turning,isolation_forest_image_features,anomaly_score,0.08932932300590468,0.9895953479430989,0.8666666666666667,1.0,0.7647058823529411,35,0,4,13,0.9547836538461538,1.0,0.7058823529411765,0.972972972972973,1.0,1.0,0.5454545454545454,0.9473684210526315,1000
turning,one_class_svm_image_features,anomaly_score,0.2504100473787465,0.9492491441020853,0.9032258064516129,1.0,0.8235294117647058,35,0,3,14,0.8619902740937223,1.0,0.7584051724137931,1.0,1.0,1.0,0.6108333333333335,1.0,1000
turning,pca_image_reconstruction,anomaly_score,0.0013803489273414016,0.9697036709420611,0.8666666666666667,1.0,0.7647058823529411,35,0,4,13,0.905321079687856,1.0,0.7096774193548387,0.9697402597402597,1.0,1.0,0.55,0.9412581699346404,1000
