dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,bootstrap_n_effective
broach_dataset,cnn_ae,global_mse,0.0011022323742508888,0.5927198623646657,0.625,1.0,0.45454545454545453,2478,0,12,10,0.39567894884553606,0.7745216173827637,0.3888440860215054,0.8,1.0,1.0,0.2413448275862069,0.6666666666666666,1000
broach_dataset,cnn_ae,global_mae,0.013985994271934032,0.32417107347626317,0.42857142857142855,1.0,0.2727272727272727,2478,0,16,6,0.14797473475300124,0.519134266893466,0.17391304347826086,0.6429147465437788,1.0,1.0,0.09523809523809523,0.4737468671679197,1000
broach_dataset,cnn_ae,ver_max,0.003398982109501958,0.9919815033451396,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.9696401766187863,1.0,0.7407407407407407,0.9696969696969697,1.0,1.0,0.5882352941176471,0.9411764705882353,1000
broach_dataset,cnn_ae,ver_topk,0.0020558079704642296,0.8686925362165319,0.8108108108108109,1.0,0.6818181818181818,2478,0,7,15,0.7392694574318139,0.9699304796081112,0.6521195652173913,0.9303100775193798,1.0,1.0,0.48381123058542413,0.8697010869565216,1000
broach_dataset,cnn_ae,maxpool_mse_3x3,0.0030270623974502087,0.7028588589297448,0.7058823529411765,1.0,0.5454545454545454,2478,0,10,12,0.5135878855984719,0.868894147105681,0.5,0.8571428571428571,1.0,1.0,0.3333333333333333,0.75,1000
broach_dataset,cnn_ae,maxpool_mse_5x5,0.005116794724017382,0.7690482008831346,0.7777777777777778,1.0,0.6363636363636364,2478,0,8,14,0.597258178266687,0.9132481285155557,0.5998648648648649,0.9047619047619048,1.0,1.0,0.4284340659340659,0.8260869565217391,1000
broach_dataset,cnn_ae,maxpool_mse_9x9,0.010107052512466908,0.9020936541373268,0.7777777777777778,1.0,0.6363636363636364,2478,0,8,14,0.7757574352065678,0.994421626984127,0.5998648648648649,0.9047619047619048,1.0,1.0,0.4284340659340659,0.8260869565217391,1000
broach_dataset,cnn_ae,maxpool_mse_15x15,0.016485905274748802,0.9051266679444849,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.7820638186037872,0.994736842105263,0.7272727272727273,0.9714285714285714,1.0,1.0,0.5714285714285714,0.9444444444444444,1000
broach_dataset,cnn_ae,maxpool_mse_25x25,0.028524721041321754,0.9102493050123179,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.7911997241006483,0.9999999999999999,0.7272727272727273,0.9714285714285714,1.0,1.0,0.5714285714285714,0.9444444444444444,1000
broach_dataset,cnn_ae,maxpool_mse_35x35,0.04073825478553772,0.9054116161616159,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.7864991158653101,1.0,0.7272727272727273,0.9714285714285714,1.0,1.0,0.5714285714285714,0.9444444444444444,1000
broach_dataset,cnn_ae,maxpool_mse_51x51,0.06033642962574959,0.8894620841365904,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17,0.7588863411667336,0.9970380116959064,0.7407004830917874,0.9714671814671815,1.0,1.0,0.5881845841784991,0.944517543859649,1000
broach_dataset,cnn_ae,maxpool_mse_75x75,0.10425974428653717,0.8713916766356136,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13,0.7373583780304301,0.9693945003439974,0.5515673981191223,0.8890350877192981,1.0,1.0,0.3808035714285714,0.8002380952380951,1000
broach_dataset,cnn_ae,maxpool_mse_101x101,0.12075731158256531,0.9568343681062266,0.8780487804878049,0.9473684210526315,0.8181818181818182,2477,1,4,18,0.8917793596888425,0.9984643874643875,0.7498546511627907,0.9696969696969697,0.8233957219251337,1.0,0.6470588235294118,0.9583333333333334,1000
