dataset,method,score,validation_f1_count,validation_f1_mean,validation_f1_std,validation_f1_min,validation_f1_max,validation_precision_count,validation_precision_mean,validation_precision_std,validation_precision_min,validation_precision_max,validation_recall_count,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,pr_auc_count,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_count,f1_mean,f1_std,f1_min,f1_max,precision_count,precision_mean,precision_std,precision_min,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_max,tn_count,tn_mean,tn_std,tn_min,tn_max,fp_count,fp_mean,fp_std,fp_min,fp_max,fn_count,fn_mean,fn_std,fn_min,fn_max,tp_count,tp_mean,tp_std,tp_min,tp_max,validation_f1_ci95,validation_precision_ci95,validation_recall_ci95,pr_auc_ci95,f1_ci95,precision_ci95,recall_ci95,tn_ci95,fp_ci95,fn_ci95,tp_ci95
turning,isolation_forest_image_features,anomaly_score,5,0.8910231345715218,0.09932688065706123,0.7500000000000001,1.0,5,0.87332995951417,0.14799188152727807,0.6923076923076923,1.0,5,0.9236363636363636,0.1047626202973668,0.8,1.0,5,0.8969492392490995,0.11982512594899286,0.7237215024764432,1.0,5,0.8910231345715216,0.09932688065706127,0.75,1.0,5,0.87332995951417,0.14799188152727807,0.6923076923076923,1.0,5,0.9236363636363636,0.1047626202973668,0.8,1.0,5,116.0,4.847679857416328,109,120,5,2.0,2.345207879911715,0,5,5,0.8,1.0954451150103321,0,2,5,11.4,3.049590136395381,8,15,0.08706384959974156,0.12972060362753096,0.09182848547047726,0.10503135379749343,0.0870638495997416,0.12972060362753096,0.09182848547047726,4.249178744181043,2.055665342413497,0.9601999791710056,2.6730836126092274
turning,one_class_svm_image_features,anomaly_score,5,0.8798526095803773,0.10281041570744034,0.7272727272727273,1.0,5,0.8832323232323234,0.10096362567184888,0.7272727272727273,1.0,5,0.877835497835498,0.11102457228528723,0.7272727272727273,1.0,5,0.8867141048364562,0.10168125869392645,0.7556653341342336,1.0,5,0.8798526095803773,0.10281041570744034,0.7272727272727273,1.0,5,0.8832323232323234,0.10096362567184888,0.7272727272727273,1.0,5,0.877835497835498,0.11102457228528723,0.7272727272727273,1.0,5,116.6,4.722287581247036,109,121,5,1.4,1.140175425099138,0,3,5,1.4,1.140175425099138,0,3,5,10.8,2.7748873851023212,8,14,0.0901173027002047,0.08849851986078201,0.09731732839467462,0.08912755293912553,0.0901173027002047,0.08849851986078201,0.09731732839467462,4.139267568060801,0.9994078246641859,0.9994078246641859,2.4322960346142075
turning,pca_image_reconstruction,reconstruction_mse,5,0.7485784313725491,0.1330530683325082,0.625,0.9375,5,0.6245703145958901,0.19046532346444486,0.45454545454545453,0.8823529411764706,5,0.9818181818181818,0.040655781409087106,0.9090909090909091,1.0,5,0.6368871232166265,0.13005145195800155,0.4599273898616004,0.81917077475901,5,0.7485784313725491,0.13305306833250824,0.625,0.9375,5,0.6245703145958901,0.19046532346444486,0.45454545454545453,0.8823529411764706,5,0.9818181818181818,0.040655781409087106,0.9090909090909091,1.0,5,109.8,5.7619441163551715,106,119,5,8.2,5.215361924162119,2,12,5,0.2,0.4472135954999579,0,1,5,12.0,2.345207879911715,10,15,0.11662615651931386,0.16695021696420992,0.035636363636363654,0.11399512376305071,0.11662615651931389,0.16695021696420992,0.035636363636363654,5.050566700876247,4.571466285558715,0.39199999999999996,2.055665342413497
