global_mse,global_mae,ver_max,ver_topk,maxpool_mse_3x3,maxpool_mse_5x5,maxpool_mse_9x9,maxpool_mse_15x15,maxpool_mse_25x25,maxpool_mse_35x35,maxpool_mse_51x51,maxpool_mse_75x75,maxpool_mse_101x101,filename,label,split
0.00043304198,0.010700921,0.0008890959,0.00075015024,0.0014092963,0.0022808837,0.0039105443,0.006227131,0.009900266,0.013236095,0.01855391,0.026411543,0.03300743,00yac9b6.png,0,validation
0.00034630974,0.009928301,0.0007164725,0.0005885173,0.0012106812,0.0019800316,0.0033871415,0.005283391,0.008090106,0.010687057,0.014742642,0.019628026,0.022974381,01ecfho9.png,0,validation
0.00023964273,0.008098925,0.00074592774,0.0005408825,0.0008688317,0.0014317943,0.0024140943,0.0037168048,0.0057872925,0.007895363,0.011384269,0.017069254,0.022844385,01rpdbjb.png,0,validation
0.00032336795,0.009829654,0.0007708987,0.00059961644,0.0011920715,0.0019882233,0.003373565,0.0051202136,0.007624768,0.009766156,0.012648832,0.016134443,0.019086175,01ywejtw.png,0,validation
0.00038145226,0.010376352,0.00078134995,0.00062392827,0.0013544937,0.0022676443,0.004054428,0.006714801,0.010973216,0.015075632,0.02208966,0.032500945,0.04127455,02hhnnq8.png,0,validation
0.0010048605,0.013584893,0.001956584,0.0017874002,0.002824611,0.0046939207,0.008525412,0.014667299,0.025167236,0.035938766,0.05447413,0.083179295,0.102488995,02i89bne.png,0,validation
0.00032631314,0.009681598,0.0007417784,0.00059997535,0.0011758341,0.0019461529,0.0033278284,0.0052455137,0.008275757,0.01095571,0.014741021,0.020043729,0.024312364,02smpd9t.png,0,validation
0.00029430268,0.009234736,0.0007300065,0.0006038799,0.0010532094,0.0017561988,0.0030181552,0.004694345,0.0072032344,0.009322695,0.012439259,0.016934909,0.020935176,030bxhe3.png,0,validation
0.00036455764,0.010103476,0.00078067445,0.0006789872,0.0012790894,0.0021090026,0.003574344,0.0055428473,0.008360441,0.010859056,0.014584896,0.019438537,0.023249567,030jl4tn.png,0,validation
0.00032559413,0.009497607,0.00079811685,0.0006880393,0.0011732863,0.0019782132,0.003470025,0.005591768,0.008930697,0.012042196,0.01707515,0.025171956,0.033793982,03dcuvaj.png,0,validation
0.00038080325,0.010215675,0.00073235284,0.00067712803,0.0013143857,0.0021473044,0.0036320472,0.0056203958,0.008623401,0.0113807,0.015647853,0.021116462,0.024798486,051qepd1.png,0,validation
0.00033229895,0.009677374,0.0009488839,0.0006964102,0.0011806502,0.0019667575,0.00342111,0.005501477,0.009003902,0.012133905,0.01694712,0.024477106,0.03248402,05520eak.png,0,validation
0.00036374308,0.009963872,0.00089013,0.00080838194,0.0012870735,0.0021072265,0.0035191409,0.0053109494,0.007735757,0.009938117,0.01339067,0.018199349,0.02225783,05nxu89x.png,0,validation
0.00032451734,0.00946307,0.00085176167,0.0007183536,0.0011946768,0.001995314,0.0033587858,0.005095703,0.007684072,0.009992455,0.013373532,0.018269587,0.023304474,065x3drt.png,0,validation
0.0003308982,0.009724958,0.0006502228,0.00053050386,0.0012025298,0.0019906648,0.0034349256,0.00539448,0.00843699,0.011302727,0.016080659,0.023387088,0.029303195,06sbov0j.png,0,validation
0.0002968065,0.009443443,0.0006639316,0.0005833592,0.0010951707,0.0018089976,0.0030148656,0.0045073903,0.006539669,0.008307464,0.01090054,0.014377726,0.017334558,07hpnpk2.png,0,validation
0.00028566513,0.009016913,0.00072661304,0.00058563164,0.0010460876,0.0017357559,0.00292877,0.0044538374,0.0065388833,0.008449406,0.01145902,0.015577182,0.018947108,082xr8z7.png,0,validation
0.0003425387,0.00958428,0.0008256385,0.00073880894,0.001280584,0.002169564,0.0037788316,0.0059905197,0.009419564,0.012839145,0.018412521,0.027132438,0.03685792,08fmld08.png,0,validation
0.00031230846,0.009583372,0.00071952643,0.0005498268,0.0011073058,0.0018232808,0.0031112689,0.004811469,0.0072097913,0.009281492,0.012105367,0.015773011,0.018607188,08kht9gr.png,0,validation
0.00028392137,0.009082789,0.00069912197,0.0005803029,0.0010429715,0.0017435068,0.002946699,0.00453422,0.006908931,0.008990428,0.011945497,0.01571629,0.019330898,096r9cs6.png,0,validation
0.0005471694,0.011141193,0.0016711106,0.0010293741,0.0017775431,0.0030326643,0.005487997,0.009457127,0.01698777,0.025361802,0.040747408,0.06474045,0.09007217,09tyaw7d.png,0,validation
0.00028986423,0.009164054,0.00066187774,0.00058944366,0.0010542806,0.0017861318,0.0031368157,0.005057748,0.007899451,0.010601911,0.014943332,0.02158732,0.02795482,0a690q5n.png,0,validation
0.00036295675,0.010035597,0.0009305165,0.0007156257,0.0013359092,0.0022358233,0.003741372,0.005644897,0.008274038,0.010528708,0.013829349,0.018392703,0.02214211,0at3z4mg.png,0,validation
0.00034844255,0.010110619,0.00068342517,0.0006029608,0.0011893798,0.0019570133,0.003389383,0.0052978853,0.008005854,0.010407388,0.013900727,0.018790683,0.022117475,0bmbaoqr.png,0,validation
0.0003047702,0.009221175,0.0007897056,0.0006291804,0.0011121865,0.0018353316,0.0030433927,0.0045518843,0.006566182,0.00834472,0.010906905,0.0140659725,0.01666484,0d1bnyg4.png,0,validation
0.0003858327,0.010369868,0.0007336998,0.000605746,0.0013524357,0.0022503391,0.003921517,0.006278637,0.009931196,0.013185258,0.018226776,0.025382048,0.030244514,0f3eheut.png,0,validation
0.00041176673,0.010599137,0.000779655,0.00071208505,0.0014336642,0.0023445068,0.0039938516,0.0062869643,0.009958109,0.013589093,0.019175012,0.026904823,0.033447757,0gd5n0gu.png,0,validation
0.0003588128,0.009975519,0.00071517326,0.0006328775,0.0012506794,0.0020701098,0.003565566,0.005617897,0.008787942,0.011641785,0.015966067,0.022190489,0.027092202,0gdjlf3a.png,0,validation
0.00027078288,0.008834865,0.0006697926,0.0005497255,0.000995371,0.0016634818,0.0027735722,0.004181952,0.006140077,0.007920602,0.010425546,0.013322216,0.0153941745,0h8kw3fm.png,0,validation
0.00032932538,0.009760915,0.0006892283,0.00055905944,0.0011785512,0.0019333422,0.003249058,0.0049951733,0.00765069,0.0100433,0.01357947,0.01811657,0.021172082,0hizo25m.png,0,validation
0.00032496368,0.009503762,0.0007970541,0.00068381266,0.0012085107,0.0020272636,0.0034182428,0.0051644356,0.0074888645,0.009535593,0.012417362,0.015996398,0.01876501,0i2ldsyj.png,0,validation
