Method,PR-AUC,F1-score,Precision,Recall,TN,FP,FN,TP
One-class SVM,0.9176203996030552,0.7692307692307693,0.8823529411764706,0.6818181818181818,2476,2,7,15
Isolation Forest,0.7590967467006884,0.6285714285714286,0.8461538461538461,0.5,2476,2,11,11
PCA Reconstruction,0.9632920110192836,0.9,1.0,0.8181818181818182,2478,0,4,18
