cv_seed,cv_fold,n_samples,n_runs,n_chatter,n_no_chatter,n_chatter_runs
42,0,136,11,15,121,2
42,1,135,15,11,124,5
42,2,128,13,10,118,3
42,3,120,11,11,109,1
42,4,132,13,14,118,3
