bottleneck_dim,epochs_trained,best_epoch,final_loss,final_val_loss,best_val_loss,internal_train_global_mse_mean,internal_val_global_mse_mean,model_path
8,2000,2000,0.005001618526875973,0.0046147010289132595,0.0046147010289132595,0.005000119097530842,0.00461494829505682,models/bottleneck_sweep/ae_bn8_turning_seed42.keras
16,2000,2000,0.0012703763786703348,0.0014696702128276229,0.0014696702128276229,0.0012508212821558118,0.0014696698635816574,models/bottleneck_sweep/ae_bn16_turning_seed42.keras
32,2000,1980,0.0012078036088496447,0.0014563441509380937,0.0014543902361765504,0.001211996772326529,0.0014553251676261425,models/bottleneck_sweep/ae_bn32_turning_seed42.keras
64,2000,2000,0.004975644405931234,0.004599096719175577,0.004599096719175577,0.00497438432648778,0.004599801730364561,models/bottleneck_sweep/ae_bn64_turning_seed42.keras
128,2000,2000,0.0009092050604522228,0.0011232459219172597,0.0011232459219172597,0.000910298724193126,0.0011232920223847032,models/bottleneck_sweep/ae_bn128_turning_seed42.keras
