dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.012536825612187386,0.47619047619047616,0.5263157894736842,0.43478260869565216,469,136,15,121,11,1.0,1.0,1.0,1.0,121,0,0,15,64,3921,0.005303489975631237
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.0749289020895958,0.47727272727272724,0.5,0.45652173913043476,469,136,15,121,11,0.9958333333333333,0.9655172413793104,1.0,0.9333333333333333,121,0,1,14,64,3921,0.005303489975631237
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.014113682322204113,0.5052631578947369,0.4897959183673469,0.5217391304347826,469,136,15,121,11,0.913506956006956,0.8823529411764706,0.7894736842105263,1.0,117,4,0,15,64,3921,0.005303489975631237
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.016494808718562126,0.506024096385542,0.5675675675675675,0.45652173913043476,469,136,15,121,11,0.9913888888888889,0.967741935483871,0.9375,1.0,120,1,0,15,64,3921,0.005303489975631237
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02092035859823227,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,64,4000,0.00588094862177968
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09601562470197678,0.6486486486486487,1.0,0.48,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,64,4000,0.00588094862177968
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.015973368659615517,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7087110079204941,0.5238095238095238,0.3548387096774194,1.0,104,20,0,11,64,4000,0.00588094862177968
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.014713781885802746,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7068994137175956,0.5365853658536586,0.36666666666666664,1.0,105,19,0,11,64,4000,0.00588094862177968
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.0034172553569078445,0.823529411764706,0.7205882352941176,0.9607843137254902,472,128,10,118,13,0.7510313216195569,0.72,0.6,0.9,112,6,1,9,64,2168,0.0010215904330834746
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.03470984473824501,0.8468468468468469,0.7833333333333333,0.9215686274509803,472,128,10,118,13,0.8536111111111112,0.75,0.6428571428571429,0.9,113,5,1,9,64,2168,0.0010215904330834746
