split,label,score,n,mean,std,median,p90
test,chatter,global_mse,27,0.04342002421617508,0.022118836641311646,0.036505915224552155,0.06838325411081314
test,chatter,global_mae,27,0.1362105906009674,0.05231500789523125,0.12309787422418594,0.19503073394298553
test,chatter,ver_max,27,0.05339209735393524,0.022359898313879967,0.0557013601064682,0.07712174952030182
test,chatter,ver_topk,27,0.05122576653957367,0.021963883191347122,0.04957317188382149,0.07470186799764633
test,no_chatter,global_mse,48,0.004287894815206528,0.0031054492574185133,0.0029902877286076546,0.008958345279097557
test,no_chatter,global_mae,48,0.03889549896121025,0.012575165368616581,0.03839506208896637,0.056736018508672714
test,no_chatter,ver_max,48,0.005898702889680862,0.005296650808304548,0.0038419533520936966,0.01285766251385212
test,no_chatter,ver_topk,48,0.005378983914852142,0.004556689411401749,0.003507696557790041,0.012491573579609394
validation,chatter,global_mse,34,0.05093001574277878,0.03885849565267563,0.029501790180802345,0.10602058470249176
validation,chatter,global_mae,34,0.14352017641067505,0.08039199560880661,0.105881467461586,0.25568169355392456
validation,chatter,ver_max,34,0.06514573842287064,0.04272036999464035,0.043863944709300995,0.12274890393018723
validation,chatter,ver_topk,34,0.06204937398433685,0.042418502271175385,0.03829270601272583,0.11991215497255325
validation,no_chatter,global_mse,70,0.004125713836401701,0.0035693838726729155,0.0030253692530095577,0.006912439130246639
validation,no_chatter,global_mae,70,0.037602756172418594,0.013236701488494873,0.03735746443271637,0.05058978497982025
validation,no_chatter,ver_max,70,0.005577548407018185,0.005634396802634001,0.003942015580832958,0.011422754265367985
validation,no_chatter,ver_topk,70,0.005135314539074898,0.005068561527878046,0.00359371118247509,0.010126178152859211
