split,label,score,n,mean,std,median,p90
test,chatter,global_mse,27,0.04352209344506264,0.022141525521874428,0.03663935512304306,0.06850637495517731
test,chatter,global_mae,27,0.1362254023551941,0.052205272018909454,0.12326707690954208,0.19492760300636292
test,chatter,ver_max,27,0.05352373421192169,0.02234400436282158,0.05589183792471886,0.0771922841668129
test,chatter,ver_topk,27,0.05134258046746254,0.021940546110272408,0.049705177545547485,0.07473018765449524
test,no_chatter,global_mse,48,0.004304563160985708,0.0030966594349592924,0.003000039141625166,0.00896403193473816
test,no_chatter,global_mae,48,0.039113182574510574,0.01240534707903862,0.03846993297338486,0.05675940215587616
test,no_chatter,ver_max,48,0.0059044249355793,0.00527039822191,0.003820507787168026,0.012808769941329956
test,no_chatter,ver_topk,48,0.005395544692873955,0.004547661170363426,0.0034865622874349356,0.012486888095736504
validation,chatter,global_mse,34,0.051050469279289246,0.03886846825480461,0.029643267393112183,0.10614180564880371
validation,chatter,global_mae,34,0.1437150090932846,0.08018144220113754,0.10610368847846985,0.2556023597717285
validation,chatter,ver_max,34,0.06522533297538757,0.042763009667396545,0.044013090431690216,0.12278666347265244
validation,chatter,ver_topk,34,0.062168970704078674,0.04243156313896179,0.03855861723423004,0.12004853039979935
validation,no_chatter,global_mse,70,0.004151031840592623,0.00356393214315176,0.002997347852215171,0.006959811318665743
validation,no_chatter,global_mae,70,0.037895407527685165,0.013049428351223469,0.03742524981498718,0.05065406858921051
validation,no_chatter,ver_max,70,0.005593853536993265,0.005639896262437105,0.0038895122706890106,0.01137804239988327
validation,no_chatter,ver_topk,70,0.005158802028745413,0.005067111924290657,0.0035788659006357193,0.010187098756432533
