split,label,score,n,mean,std,median,p90
test,chatter,global_mse,27,0.008731292560696602,0.0043595037423074245,0.00835524033755064,0.014177707955241203
test,chatter,global_mae,27,0.06143484637141228,0.017908180132508278,0.060965921729803085,0.08507540822029114
test,chatter,ver_max,27,0.014905172400176525,0.009806625545024872,0.01184286642819643,0.02892436273396015
test,chatter,ver_topk,27,0.012689298950135708,0.008257117122411728,0.009654742665588856,0.022648759186267853
test,no_chatter,global_mse,48,0.0012561618350446224,0.0009872651426121593,0.001023489166982472,0.002356649609282613
test,no_chatter,global_mae,48,0.01797078736126423,0.00868010800331831,0.017462940886616707,0.029752349480986595
test,no_chatter,ver_max,48,0.0021212520077824593,0.002183387754485011,0.001558308256790042,0.004327061586081982
test,no_chatter,ver_topk,48,0.0018042093142867088,0.001802533632144332,0.0013125527184456587,0.0035919449292123318
validation,chatter,global_mse,34,0.010210969485342503,0.006914838682860136,0.007929661311209202,0.01975097693502903
validation,chatter,global_mae,34,0.06470159441232681,0.029027245938777924,0.057545289397239685,0.1040085181593895
validation,chatter,ver_max,34,0.016938799992203712,0.01153435930609703,0.015030067414045334,0.03062799572944641
validation,chatter,ver_topk,34,0.014277755282819271,0.00958930142223835,0.012712199240922928,0.02718839980661869
validation,no_chatter,global_mse,70,0.0012618982000276446,0.0012728115543723106,0.000997121213003993,0.002217794768512249
validation,no_chatter,global_mae,70,0.018025627359747887,0.009859520941972733,0.01774817705154419,0.028651174157857895
validation,no_chatter,ver_max,70,0.0020437377970665693,0.002420772099867463,0.0013656220398843288,0.004237990826368332
validation,no_chatter,ver_topk,70,0.0017129938350990415,0.0019040063489228487,0.0012152600102126598,0.0032591139897704124
