method,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
ver_max,0.004583887,0.9661905965621841,0.926829268292683,1.0,0.8636363636363636,2478,0,3,19
pca_recon,0.00044032373,0.9409832672470491,0.8205128205128205,0.9411764705882353,0.7272727272727273,2477,1,6,16
ver_topk,0.0035899766,0.9236996060047203,0.7058823529411765,1.0,0.5454545454545454,2478,0,10,12
iso_forest,0.02516354444401,0.771033252810392,0.7027027027027027,0.8666666666666667,0.5909090909090909,2476,2,9,13
global_mse,0.001102232,0.5927198623646657,0.625,1.0,0.45454545454545453,2478,0,12,10
global_mae,0.013986,0.32417107347626317,0.42857142857142855,1.0,0.2727272727272727,2478,0,16,6
